>66, 3/10, d=0.721, g=0.843
>66, 4/10, d=0.733, g=0.894
>66, 5/10, d=0.739, g=0.818
>66, 6/10, d=0.748, g=0.695
>66, 7/10, d=0.770, g=0.608
>66, 8/10, d=0.667, g=0.627
>66, 9/10, d=0.615, g=0.539
>66, 10/10, d=0.616, g=0.534
>67, 1/10, d=0.595, g=0.492
>67, 2/10, d=0.530, g=0.541
>67, 3/10, d=0.575, g=0.578
>67, 4/10, d=0.577, g=0.483
>67, 5/10, d=0.647, g=0.605
>67, 6/10, d=0.573, g=0.646
>67, 7/10, d=0.585, g=0.848
>67, 8/10, d=0.614, g=0.930
>67, 9/10, d=0.638, g=0.970
>67, 10/10, d=0.677, g=1.060
>68, 1/10, d=0.690, g=1.093
>68, 2/10, d=0.657, g=0.981
>68, 3/10, d=0.644, g=0.909
>68, 4/10, d=0.755, g=0.913
>68, 5/10, d=0.674, g=0.911
>68, 6/10, d=0.726, g=0.851
>68, 7/10, d=0.815, g=0.736
>68, 8/10, d=0.808, g=0.725
>68, 9/10, d=0.712, g=0.611
>68, 10/10, d=0.737, g=0.567
>69, 1/10, d=0.698, g=0.555
>69, 2/10, d=0.696, g=0.606
>69, 3/10, d=0.695, g=0.592
>69, 4/10, d=0.700, g=0.606
>69, 5/10, d=0.746, g=0.727
>69, 6/10, d=0.741, g=0.706
>69, 7/10, d=0.671, g=0.685
>69, 8/10, d=0.761, g=0.669
>69, 9/10, d=0.651, g=0.658
>69, 10/10, d=0.629, g=0.722
>70, 1/10, d=0.675, g=0.666
>70, 2/10, d=0.727, g=0.722
>70, 3/10, d=0.689, g=0.753
>70, 4/10, d=0.640, g=0.752
>70, 5/10, d=0.694, g=0.794
>70, 6/10, d=0.716, g=0.738
>70, 7/10, d=0.593, g=0.848
>70, 8/10, d=0.585, g=0.862
